,Date,Donald Trump,Kamala Harris,Compound_Score,GLD,IVV,IWM,^IRX,^TNX,^VIX
0,2024-10-02,0.4825,0.4985,-0.23021000000000003,"[245.66000366210938, 245.49000549316406, 245.0, 244.1699981689453]","[571.5999755859375, 570.510009765625, 575.6900024414062, 570.530029296875]","[217.58999633789062, 216.1300048828125, 219.14999389648438, 217.42999267578125]","[4.4730000495910645, 4.465000152587891, 4.505000114440918, 4.525000095367432]","[3.7850000858306885, 3.8499999046325684, 3.9809999465942383, 4.026000022888184]","[18.899999618530273, 20.489999771118164, 19.209999084472656, 22.639999389648438]"
1,2024-10-03,0.4925,0.4945,-0.3612,"[245.49000549316406, 245.0, 244.1699981689453, 242.3699951171875]","[570.510009765625, 575.6900024414062, 570.530029296875, 575.9400024414062]","[216.1300048828125, 219.14999389648438, 217.42999267578125, 217.5800018310547]","[4.465000152587891, 4.505000114440918, 4.525000095367432, 4.5279998779296875]","[3.8499999046325684, 3.9809999465942383, 4.026000022888184, 4.0329999923706055]","[20.489999771118164, 19.209999084472656, 22.639999389648438, 21.420000076293945]"
2,2024-10-04,0.4965,0.4955,-0.1430392156862745,"[245.0, 244.1699981689453, 242.3699951171875, 241.0500030517578]","[575.6900024414062, 570.530029296875, 575.9400024414062, 579.8499755859375]","[219.14999389648438, 217.42999267578125, 217.5800018310547, 218.05999755859375]","[4.505000114440918, 4.525000095367432, 4.5279998779296875, 4.534999847412109]","[3.9809999465942383, 4.026000022888184, 4.0329999923706055, 4.066999912261963]","[19.209999084472656, 22.639999389648438, 21.420000076293945, 20.860000610351562]"
3,2024-10-05,0.4975,0.4925,-0.04373537414965986,"[244.1699981689453, 242.3699951171875, 241.0500030517578, 242.82000732421875]","[570.530029296875, 575.9400024414062, 579.8499755859375, 578.8300170898438]","[217.42999267578125, 217.5800018310547, 218.05999755859375, 216.85000610351562]","[4.525000095367432, 4.5279998779296875, 4.534999847412109, 4.53000020980835]","[4.026000022888184, 4.0329999923706055, 4.066999912261963, 4.0960001945495605]","[22.639999389648438, 21.420000076293945, 20.860000610351562, 20.93000030517578]"
4,2024-10-06,0.5015,0.4895,-0.02131825396825397,"[244.1699981689453, 242.3699951171875, 241.0500030517578, 242.82000732421875]","[570.530029296875, 575.9400024414062, 579.8499755859375, 578.8300170898438]","[217.42999267578125, 217.5800018310547, 218.05999755859375, 216.85000610351562]","[4.525000095367432, 4.5279998779296875, 4.534999847412109, 4.53000020980835]","[4.026000022888184, 4.0329999923706055, 4.066999912261963, 4.0960001945495605]","[22.639999389648438, 21.420000076293945, 20.860000610351562, 20.93000030517578]"
5,2024-10-07,0.5075,0.4835,-0.28444761904761906,"[244.1699981689453, 242.3699951171875, 241.0500030517578, 242.82000732421875]","[570.530029296875, 575.9400024414062, 579.8499755859375, 578.8300170898438]","[217.42999267578125, 217.5800018310547, 218.05999755859375, 216.85000610351562]","[4.525000095367432, 4.5279998779296875, 4.534999847412109, 4.53000020980835]","[4.026000022888184, 4.0329999923706055, 4.066999912261963, 4.0960001945495605]","[22.639999389648438, 21.420000076293945, 20.860000610351562, 20.93000030517578]"
6,2024-10-08,0.5395,0.4575,-0.1981793650793651,"[242.3699951171875, 241.0500030517578, 242.82000732421875, 245.47000122070312]","[575.9400024414062, 579.8499755859375, 578.8300170898438, 582.3499755859375]","[217.5800018310547, 218.05999755859375, 216.85000610351562, 221.25999450683594]","[4.5279998779296875, 4.534999847412109, 4.53000020980835, 4.514999866485596]","[4.0329999923706055, 4.066999912261963, 4.0960001945495605, 4.072999954223633]","[21.420000076293945, 20.860000610351562, 20.93000030517578, 20.459999084472656]"
7,2024-10-09,0.529,0.4655,-0.06320302491103202,"[241.0500030517578, 242.82000732421875, 245.47000122070312, 245.07000732421875]","[579.8499755859375, 578.8300170898438, 582.3499755859375, 587.1500244140625]","[218.05999755859375, 216.85000610351562, 221.25999450683594, 222.88999938964844]","[4.534999847412109, 4.53000020980835, 4.514999866485596, 4.51800012588501]","[4.066999912261963, 4.0960001945495605, 4.072999954223633, 4.0980000495910645]","[20.860000610351562, 20.93000030517578, 20.459999084472656, 19.700000762939453]"
8,2024-10-10,0.5335,0.4605,-0.005371391529818496,"[242.82000732421875, 245.47000122070312, 245.07000732421875, 245.9199981689453]","[578.8300170898438, 582.3499755859375, 587.1500244140625, 582.489990234375]","[216.85000610351562, 221.25999450683594, 222.88999938964844, 223.07000732421875]","[4.53000020980835, 4.514999866485596, 4.51800012588501, 4.514999866485596]","[4.0960001945495605, 4.072999954223633, 4.0980000495910645, 4.038000106811523]","[20.93000030517578, 20.459999084472656, 19.700000762939453, 20.639999389648438]"
9,2024-10-11,0.5545,0.4395,-0.009257190357439734,"[245.47000122070312, 245.07000732421875, 245.9199981689453, 247.14999389648438]","[582.3499755859375, 587.1500244140625, 582.489990234375, 585.0800170898438]","[221.25999450683594, 222.88999938964844, 223.07000732421875, 226.74000549316406]","[4.514999866485596, 4.51800012588501, 4.514999866485596, 4.502999782562256]","[4.072999954223633, 4.0980000495910645, 4.038000106811523, 4.015999794006348]","[20.459999084472656, 19.700000762939453, 20.639999389648438, 19.579999923706055]"
10,2024-10-12,0.5405,0.455,-0.03642442442442442,"[245.07000732421875, 245.9199981689453, 247.14999389648438, 248.6300048828125]","[587.1500244140625, 582.489990234375, 585.0800170898438, 585.25]","[222.88999938964844, 223.07000732421875, 226.74000549316406, 226.1199951171875]","[4.51800012588501, 4.514999866485596, 4.502999782562256, 4.514999866485596]","[4.0980000495910645, 4.038000106811523, 4.015999794006348, 4.0960001945495605]","[19.700000762939453, 20.639999389648438, 19.579999923706055, 19.110000610351562]"
11,2024-10-13,0.5495,0.447,-0.022238291457286435,"[245.07000732421875, 245.9199981689453, 247.14999389648438, 248.6300048828125]","[587.1500244140625, 582.489990234375, 585.0800170898438, 585.25]","[222.88999938964844, 223.07000732421875, 226.74000549316406, 226.1199951171875]","[4.51800012588501, 4.514999866485596, 4.502999782562256, 4.514999866485596]","[4.0980000495910645, 4.038000106811523, 4.015999794006348, 4.0960001945495605]","[19.700000762939453, 20.639999389648438, 19.579999923706055, 19.110000610351562]"
12,2024-10-14,0.5395,0.4545,-0.008325651302605213,"[245.07000732421875, 245.9199981689453, 247.14999389648438, 248.6300048828125]","[587.1500244140625, 582.489990234375, 585.0800170898438, 585.25]","[222.88999938964844, 223.07000732421875, 226.74000549316406, 226.1199951171875]","[4.51800012588501, 4.514999866485596, 4.502999782562256, 4.514999866485596]","[4.0980000495910645, 4.038000106811523, 4.015999794006348, 4.0960001945495605]","[19.700000762939453, 20.639999389648438, 19.579999923706055, 19.110000610351562]"
13,2024-10-15,0.5505,0.4435,-0.034311100000000004,"[245.9199981689453, 247.14999389648438, 248.6300048828125, 251.27000427246094]","[582.489990234375, 585.0800170898438, 585.25, 587.4600219726562]","[223.07000732421875, 226.74000549316406, 226.1199951171875, 225.64999389648438]","[4.514999866485596, 4.502999782562256, 4.514999866485596, 4.513000011444092]","[4.038000106811523, 4.015999794006348, 4.0960001945495605, 4.072999954223633]","[20.639999389648438, 19.579999923706055, 19.110000610351562, 18.030000686645508]"
